subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification
wos:UH	Physics, Atomic, Molecular & Chemical	skos:broadMatch	oecd:31048433	Atomic, molecular and chemical physics (physics of atoms and molecules including collision, interaction with radiation magnetic resonances Moessbauer effect)	semapv:ManualMappingCuration
wos:UF	Physics, Fluids & Plasmas	skos:broadMatch	oecd:31048474	Fluids and plasma physics (including surface physics)	semapv:ManualMappingCuration
wos:UR	Physics, Mathematical	skos:exactMatch	oecd:31048379	Mathematical physics	semapv:ManualMappingCuration
wos:UN	Physics, Nuclear	skos:exactMatch	oecd:31048472	Nuclear physics	semapv:ManualMappingCuration
wos:UP	Physics, Particles & Fields	skos:exactMatch	oecd:31048466	Particles and fields physics	semapv:ManualMappingCuration
wos:UM	Physiology	skos:broadMatch	oecd:31050373	Physiology (including cytology)	semapv:ManualMappingCuration
wos:DE	Plant Sciences	skos:broadMatch	oecd:31048898	Plant sciences, botany	semapv:ManualMappingCuration
wos:UU	Political Science	skos:exactMatch	oecd:31051035	Political science	semapv:ManualMappingCuration
wos:UY	Polymer Science	skos:broadMatch	oecd:31048560	Physical chemistry, Polymer science, Electrochemistry (dry cells, batteries, fuel cells, corrosion metals, electrolysis)	semapv:ManualMappingCuration
wos:ML	Primary Health Care	skos:broadMatch	oecd:31050510	Health sciences	semapv:ManualMappingCuration
wos:VE	Psychiatry	skos:exactMatch	oecd:31050481	Psychiatry	semapv:ManualMappingCuration
wos:VI	Psychology	skos:exactMatch	oecd:31050910	Psychology	semapv:ManualMappingCuration
wos:EQ	Psychology, Clinical	skos:exactMatch	oecd:31050918	Clinical psychology	semapv:ManualMappingCuration
wos:NQ	Psychology, Applied	skos:exactMatch	oecd:31050927	Applied psychology	semapv:ManualMappingCuration
wos:BV	Psychology, Biological	skos:broadMatch	oecd:31050910	Psychology	semapv:ManualMappingCuration
wos:MY	Psychology, Developmental	skos:exactMatch	oecd:31050932	Developmental psychology	semapv:ManualMappingCuration
wos:HI	Psychology, Educational	skos:exactMatch	oecd:31050934	Educational psychology	semapv:ManualMappingCuration
wos:VX	Psychology, Experimental	skos:exactMatch	oecd:31050935	Experimental psychology	semapv:ManualMappingCuration
wos:VS	Psychology, Mathematical	skos:broadMatch	oecd:31050910	Psychology	semapv:ManualMappingCuration
wos:VJ	Psychology, Multidisciplinary	skos:broadMatch	oecd:31050910	Psychology	semapv:ManualMappingCuration
wos:VP	Psychology, Psychoanalysis	skos:broadMatch	oecd:31050510	Health sciences	semapv:ManualMappingCuration
wos:WQ	Psychology, Social	skos:exactMatch	oecd:31050917	Social psychology	semapv:ManualMappingCuration
wos:VM	Public Administration	skos:exactMatch	oecd:31050954	Public administration	semapv:ManualMappingCuration
wos:NE	Public, Environmental & Occupational Health	skos:broadMatch	oecd:31050540	Public and environmental health	semapv:ManualMappingCuration
wos:VY	Radiology, Nuclear Medicine & Medical Imaging	skos:exactMatch	oecd:31050426	Radiology, nuclear medicine and medical imaging	semapv:ManualMappingCuration
wos:WC	Rehabilitation	skos:exactMatch	oecd:31050685	Rehabilitation	semapv:ManualMappingCuration
wos:YI	Religion	skos:broadMatch	oecd:31051188	Religious studies	semapv:ManualMappingCuration
wos:SR	Remote Sensing	skos:exactMatch	oecd:31049399	Remote sensing	semapv:ManualMappingCuration
wos:WF	Reproductive Biology	skos:exactMatch	oecd:31048884	Reproductive biology	semapv:ManualMappingCuration
wos:WE	Respiratory System	skos:broadMatch	oecd:31050411	Respiratory systems	semapv:ManualMappingCuration
wos:WH	Rheumatology	skos:exactMatch	oecd:31050446	Rheumatology	semapv:ManualMappingCuration
wos:RB	Robotics	skos:broadMatch	oecd:31049124	Robotics and automatic control	semapv:ManualMappingCuration
wos:WM	Social Issues	skos:exactMatch	oecd:31051021	Social issues	semapv:ManualMappingCuration
wos:WU	Social Sciences, Interdisciplinary	skos:exactMatch	oecd:31051108	Social sciences, interdisciplinary	semapv:ManualMappingCuration
wos:WV	Social Sciences, Biomedical	skos:broadMatch	oecd:31050510	Health sciences	semapv:ManualMappingCuration
wos:WU	Social Sciences, Interdisciplinary	skos:broadMatch	oecd:31051107	Other social sciences	semapv:ManualMappingCuration
wos:PS	Social Sciences, Mathematical Methods	skos:broadMatch	oecd:31051000	Sociology	semapv:ManualMappingCuration
wos:WY	Social Work	skos:broadMatch	oecd:31051023	Family studies, Social work	semapv:ManualMappingCuration
wos:XA	Sociology	skos:exactMatch	oecd:31051000	Sociology	semapv:ManualMappingCuration
wos:XE	Soil Science	skos:exactMatch	oecd:31048656	Soil science	semapv:ManualMappingCuration
wos:XQ	Spectroscopy	skos:exactMatch	oecd:31048592	Spectroscopy	semapv:ManualMappingCuration
wos:XW	Sport Sciences	skos:broadMatch	oecd:31050680	Sport and fitness sciences	semapv:ManualMappingCuration
wos:XY	Statistics & Probability	skos:broadMatch	oecd:31048390	Statistics and probability (This includes research on statistical methodologies, but excludes research on applied statistics which should be classified under the relevant field of application (e.g. Economics, Sociology, etc.)	semapv:ManualMappingCuration
wos:GM	Substance Abuse	skos:exactMatch	oecd:31050697	Substance abuse	semapv:ManualMappingCuration
wos:YA	Surgery	skos:exactMatch	oecd:31050418	Surgery	semapv:ManualMappingCuration
wos:YE	Telecommunications	skos:broadMatch	oecd:31049140	Communication engineering and systems telecommunications	semapv:ManualMappingCuration
wos:YG	Theater	skos:broadMatch	oecd:31051201	Performing arts studies (Musicology, Theater science, Dramaturgy)	semapv:ManualMappingCuration
wos:DT	Thermodynamics	skos:exactMatch	oecd:31048461	Thermodynamics	semapv:ManualMappingCuration
wos:YO	Toxicology	skos:exactMatch	oecd:31048814	Toxicology	semapv:ManualMappingCuration
wos:YP	Transplantation	skos:exactMatch	oecd:31050437	Transplantation	semapv:ManualMappingCuration
wos:YQ	Transportation	skos:broadMatch	oecd:31051090	Mobility, tourism, transportation and logistics	semapv:ManualMappingCuration
wos:YR	Transportation Science & Technology	skos:broadMatch	oecd:31051090	Mobility, tourism, transportation and logistics	semapv:ManualMappingCuration
wos:YU	Tropical Medicine	skos:exactMatch	oecd:31050607	Tropical medicine	semapv:ManualMappingCuration
wos:YY	Urban Studies	skos:broadMatch	oecd:31051085	Urban studies (Planning and development)	semapv:ManualMappingCuration
wos:ZA	Urology & Nephrology	skos:broadMatch	oecd:31050380	Clinical medicine	semapv:ManualMappingCuration
wos:ZA	Urology & Nephrology	skos:exactMatch	oecd:31050467	Urology and nephrology	semapv:ManualMappingCuration
wos:ZC	Veterinary Sciences	skos:broadMatch	oecd:31050851	Veterinary science	semapv:ManualMappingCuration
wos:ZE	Virology	skos:exactMatch	oecd:31048816	Virology	semapv:ManualMappingCuration
wos:ZR	Water Resources	skos:exactMatch	oecd:31048690	Water resources	semapv:ManualMappingCuration
wos:ZK	Women's Studies	skos:broadMatch	oecd:31051019	Women and gender studies	semapv:ManualMappingCuration
wos:ZM	Zoology	skos:exactMatch	oecd:31048933	Zoology	semapv:ManualMappingCuration
